Year,State,Region,District,Total_Male,Total_Female,Total_Transgender,Grand_Total,Male_Below_18,Male_18_and_above,Female_Below_18,Female_18_and_above,Transgender_Below_18,Transgender_18_and_above,Total_Below_18,Total_18_and_above
2019,Delhi,North India,Metro,25,13,0,38,3,22,3,10,0,0,6,32
2020,Delhi,North India,Metro,3,6,0,9,0,3,0,6,0,0,0,9
2021,Delhi,North India,Metro,6,3,0,9,0,6,0,3,0,0,0,9
2022,Delhi,North India,Metro,9,10,0,19,1,8,4,6,0,0,5,14
2018,Delhi,North India,New Delhi,137,73,0,210,51,86,25,48,0,0,76,134
2019,Delhi,North India,New Delhi,128,86,0,214,28,100,23,63,0,0,51,163
2020,Delhi,North India,New Delhi,61,55,0,116,8,53,14,41,0,0,22,94
2021,Delhi,North India,New Delhi,75,62,0,137,25,50,13,49,0,0,38,99
2022,Delhi,North India,New Delhi,74,62,0,136,16,58,20,42,0,0,36,100
2018,Delhi,North India,North,550,478,0,1028,126,424,147,331,0,0,273,755
2019,Delhi,North India,North,541,577,0,1118,75,466,173,404,0,0,248,870
2020,Delhi,North India,North,340,441,0,781,55,285,119,322,0,0,174,607
2021,Delhi,North India,North,435,526,0,961,83,352,172,354,0,0,255,706
2022,Delhi,North India,North,558,616,0,1174,113,445,213,403,0,0,326,848
2018,Delhi,North India,North-East,1065,1333,0,2398,259,806,354,979,0,0,613,1785
2019,Delhi,North India,North-East,1057,1380,0,2437,210,847,349,1031,0,0,559,1878
2020,Delhi,North India,North-East,775,1150,0,1925,110,665,283,867,0,0,393,1532
2021,Delhi,North India,North-East,893,1295,0,2188,164,729,371,924,0,0,535,1653
2022,Delhi,North India,North-East,1048,1314,0,2362,180,868,349,965,0,0,529,1833
2018,Delhi,North India,North-West,853,1257,0,2110,211,642,440,817,0,0,651,1459
2019,Delhi,North India,North-West,845,937,0,1782,206,639,311,626,0,0,517,1265
2020,Delhi,North India,North-West,418,683,0,1101,68,350,246,437,0,0,314,787
2021,Delhi,North India,North-West,505,865,0,1370,89,416,307,558,0,0,396,974
2022,Delhi,North India,North-West,531,706,0,1237,103,428,241,465,0,0,344,893
2018,Delhi,North India,Outer,1189,1686,0,2875,217,972,481,1205,0,0,698,2177
2019,Delhi,North India,Outer,950,1315,0,2265,156,794,359,956,0,0,515,1750
2020,Delhi,North India,Outer,733,1052,0,1785,96,637,293,759,0,0,389,1396
2021,Delhi,North India,Outer,871,1442,0,2313,150,721,384,1058,0,0,534,1779
2022,Delhi,North India,Outer,916,1362,0,2278,143,773,336,1026,0,0,479,1799
2019,Delhi,North India,Outer North,1003,1302,0,2305,275,728,468,834,0,0,743,1562
2020,Delhi,North India,Outer North,662,1117,0,1779,170,492,388,729,0,0,558,1221
2021,Delhi,North India,Outer North,888,1358,0,2246,234,654,516,842,0,0,750,1496
2022,Delhi,North India,Outer North,1028,1693,0,2721,291,737,611,1082,0,0,902,1819
2018,Delhi,North India,Outer Nortj,0,0,0,0,0,0,0,0,0,0,0,0
2018,Delhi,North India,RAILWAY,99,77,0,176,16,83,13,64,0,0,29,147
2019,Delhi,North India,RAILWAY,112,92,0,204,21,91,18,74,0,0,39,165
2020,Delhi,North India,RAILWAY,23,32,0,55,5,18,2,30,0,0,7,48
2021,Delhi,North India,RAILWAY,38,40,0,78,6,32,8,32,0,0,14,64
2022,Delhi,North India,RAILWAY,38,45,0,83,4,34,11,34,0,0,15,68
2018,Delhi,North India,Rohini,1102,1474,0,2576,311,791,492,982,0,0,803,1773
2019,Delhi,North India,Rohini,835,1134,0,1969,202,633,365,769,0,0,567,1402
2020,Delhi,North India,Rohini,665,870,0,1535,134,531,239,631,0,0,373,1162
2021,Delhi,North India,Rohini,641,1004,0,1645,146,495,344,660,0,0,490,1155
2022,Delhi,North India,Rohini,785,1012,0,1797,179,606,338,674,0,0,517,1280
2018,Delhi,North India,Shahdara,625,638,0,1263,107,518,178,460,0,0,285,978
2019,Delhi,North India,Shahdara,653,734,0,1387,113,540,235,499,0,0,348,1039
2020,Delhi,North India,Shahdara,462,521,0,983,51,411,117,404,0,0,168,815
2021,Delhi,North India,Shahdara,495,583,0,1078,56,439,159,424,0,0,215,863
2022,Delhi,North India,Shahdara,599,735,0,1334,93,506,195,540,0,0,288,1046
2018,Delhi,North India,South,903,1141,0,2044,218,685,362,779,0,0,580,1464
2019,Delhi,North India,South,796,1003,0,1799,169,627,288,715,0,0,457,1342
2020,Delhi,North India,South,468,698,0,1166,73,395,203,495,0,0,276,890
2021,Delhi,North India,South,539,888,0,1427,88,451,220,668,0,0,308,1119
2022,Delhi,North India,South,584,951,28,1563,91,493,289,662,10,18,390,1173
2018,Delhi,North India,South-East,778,1103,0,1881,203,575,342,761,0,0,545,1336
2019,Delhi,North India,South-East,714,972,0,1686,186,528,315,657,0,0,501,1185
2020,Delhi,North India,South-East,478,806,0,1284,75,403,252,554,0,0,327,957
2021,Delhi,North India,South-East,629,1019,0,1648,110,519,398,621,0,0,508,1140
2022,Delhi,North India,South-East,768,1136,0,1904,162,606,400,736,0,0,562,1342
2018,Delhi,North India,South-West,601,763,0,1364,152,449,247,516,0,0,399,965
2019,Delhi,North India,South-West,557,793,0,1350,113,444,251,542,0,0,364,986
2020,Delhi,North India,South-West,380,610,0,990,58,322,177,433,0,0,235,755
2021,Delhi,North India,South-West,450,828,0,1278,79,371,260,568,0,0,339,939
2022,Delhi,North India,South-West,577,859,0,1436,98,479,262,597,0,0,360,1076
2018,Delhi,North India,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0
2019,Delhi,North India,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0
2020,Delhi,North India,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0
2021,Delhi,North India,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0
2022,Delhi,North India,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0
2018,Delhi,North India,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
2019,Delhi,North India,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
2020,Delhi,North India,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
2021,Delhi,North India,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
2022,Delhi,North India,SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
2018,Delhi,North India,Total,10590,13272,0,23862,2430,8160,4111,9161,0,0,6541,17321
2019,Delhi,North India,Total,10874,13544,0,24418,2298,8576,4057,9487,0,0,6355,18063
2020,Delhi,North India,Total Districts ,7300,10644,2,17946,1172,6128,3125,7519,2,0,4299,13647
2021,Delhi,North India,Total Districts ,8638,13072,0,21710,1598,7040,4174,8898,0,0,5772,15938
2022,Delhi,North India,Total Districts ,9957,13883,28,23868,1852,8105,4288,9595,10,18,6150,17718
2018,Delhi,North India,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
2019,Delhi,North India,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
2020,Delhi,North India,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
2021,Delhi,North India,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
2022,Delhi,North India,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
2018,Delhi,North India,West,629,792,0,1421,102,527,235,557,0,0,337,1084
2019,Delhi,North India,West,626,801,0,1427,116,510,230,571,0,0,346,1081
2020,Delhi,North India,West,477,684,0,1161,60,417,210,474,0,0,270,891
2021,Delhi,North India,West,509,752,0,1261,59,450,263,489,0,0,322,939
2022,Delhi,North India,West,617,886,0,1503,71,546,267,619,0,0,338,1165
2019,DN Haveli,Other,All Districts,0,0,0,0,0,0,0,0,0,0,0,0
2018,DN Haveli,Other,D&N Haveli,14,46,0,60,0,14,0,46,0,0,0,60
2019,DN Haveli,Other,D&N Haveli,19,50,0,69,0,19,3,47,0,0,3,66
2018,DN Haveli,Other,Total,14,46,0,60,0,14,0,46,0,0,0,60
2019,DN Haveli,Other,Total,19,50,0,69,0,19,3,47,0,0,3,66
2020,DN Haveli and Daman & Diu,Other,D&N Haveli,9,19,0,28,0,9,0,19,0,0,0,28
2020,DN Haveli and Daman & Diu,Other,Daman,25,27,0,52,1,24,1,26,0,0,2,50
2020,DN Haveli and Daman & Diu,Other,Diu,13,5,0,18,0,13,1,4,0,0,1,17
2020,DN Haveli and Daman & Diu,Other,Total Districts ,47,51,0,98,1,46,2,49,0,0,3,95
2021,DN Haveli and Daman Diu,West Coast,D&N Haveli,23,57,0,80,3,20,11,46,0,0,14,66
2022,DN Haveli and Daman Diu,West Coast,D&N Haveli,28,65,0,93,0,28,0,65,0,0,0,93
2021,DN Haveli and Daman Diu,West Coast,Daman,17,30,0,47,1,16,4,26,0,0,5,42
2022,DN Haveli and Daman Diu,West Coast,Daman,43,65,0,108,1,42,6,59,0,0,7,101
2021,DN Haveli and Daman Diu,West Coast,Diu,8,13,0,21,0,8,0,13,0,0,0,21
2022,DN Haveli and Daman Diu,West Coast,Diu,9,5,0,14,3,6,1,4,0,0,4,10
2021,DN Haveli and Daman Diu,West Coast,Total Districts ,48,100,0,148,4,44,15,85,0,0,19,129
2022,DN Haveli and Daman Diu,West Coast,Total Districts ,80,135,0,215,4,76,7,128,0,0,11,204
2018,Goa,West Coast,CID,6,2,0,8,0,6,0,2,0,0,0,8
2019,Goa,West Coast,CID,6,2,0,8,0,6,0,2,0,0,0,8
2020,Goa,West Coast,CID,3,0,0,3,0,3,0,0,0,0,0,3
2018,Goa,West Coast,North Goa,142,121,0,263,5,137,7,114,0,0,12,251
2019,Goa,West Coast,North Goa,151,131,0,282,3,148,7,124,0,0,10,272
2020,Goa,West Coast,North Goa,122,92,0,214,6,116,3,89,0,0,9,205
2021,Goa,West Coast,North Goa,161,113,0,274,3,158,3,110,0,0,6,268
2022,Goa,West Coast,North Goa,177,130,13,320,9,168,4,126,0,13,13,307
2018,Goa,West Coast,South Goa,110,111,0,221,1,109,3,108,0,0,4,217
2019,Goa,West Coast,South Goa,161,164,0,325,4,157,17,147,0,0,21,304
2020,Goa,West Coast,South Goa,132,98,0,230,3,129,3,95,0,0,6,224
2021,Goa,West Coast,South Goa,131,111,0,242,4,127,3,108,0,0,7,235
2022,Goa,West Coast,South Goa,152,153,1,306,7,145,6,147,0,1,13,293
2018,Goa,West Coast,Total,258,234,0,492,6,252,10,224,0,0,16,476
2019,Goa,West Coast,Total,318,297,0,615,7,311,24,273,0,0,31,584
2020,Goa,West Coast,Total Districts ,257,190,0,447,9,248,6,184,0,0,15,432
2021,Goa,West Coast,Total Districts ,300,225,0,525,7,293,6,219,0,0,13,512
2022,Goa,West Coast,Total Districts ,341,283,14,638,16,325,10,273,0,14,26,612
2018,Gujarat,West Coast,Ahmedabad City,940,1929,0,2869,91,849,332,1597,0,0,423,2446
2019,Gujarat,West Coast,Ahmedabad City,1065,2149,21,3235,84,981,325,1824,0,21,409,2826
2020,Gujarat,West Coast,Ahmedabad City,913,2134,0,3047,64,849,264,1870,0,0,328,2719
2021,Gujarat,West Coast,Ahmedabad City,1078,2778,0,3856,65,1013,273,2505,0,0,338,3518
2022,Gujarat,West Coast,Ahmedabad City,1232,2711,0,3943,76,1156,327,2384,0,0,403,3540
2018,Gujarat,West Coast,Ahmedabad Rural,57,127,0,184,10,47,9,118,0,0,19,165
2019,Gujarat,West Coast,Ahmedabad Rural,79,98,0,177,4,75,6,92,0,0,10,167
2020,Gujarat,West Coast,Ahmedabad Rural,44,97,0,141,9,35,2,95,0,0,11,130
2021,Gujarat,West Coast,Ahmedabad Rural,58,117,0,175,8,50,9,108,0,0,17,158
2022,Gujarat,West Coast,Ahmedabad Rural,73,123,0,196,7,66,5,118,0,0,12,184
2018,Gujarat,West Coast,Amreli,25,127,0,152,4,21,4,123,0,0,8,144
2019,Gujarat,West Coast,Amreli,23,146,0,169,0,23,0,146,0,0,0,169
2020,Gujarat,West Coast,Amreli,26,82,0,108,0,26,0,82,0,0,0,108
2021,Gujarat,West Coast,Amreli,20,82,0,102,0,20,0,82,0,0,0,102
2022,Gujarat,West Coast,Amreli,28,78,0,106,0,28,0,78,0,0,0,106
2018,Gujarat,West Coast,Anand,114,345,0,459,0,114,0,345,0,0,0,459
2019,Gujarat,West Coast,Anand,146,345,0,491,0,146,0,345,0,0,0,491
2020,Gujarat,West Coast,Anand,108,267,0,375,0,108,0,267,0,0,0,375
2021,Gujarat,West Coast,Anand,114,315,0,429,0,114,0,315,0,0,0,429
2022,Gujarat,West Coast,Anand,134,302,0,436,0,134,0,302,0,0,0,436
2018,Gujarat,West Coast,Arvalli,0,0,0,0,0,0,0,0,0,0,0,0
2019,Gujarat,West Coast,Arvalli,35,85,0,120,0,35,0,85,0,0,0,120
2020,Gujarat,West Coast,Arvalli,68,169,0,237,0,68,0,169,0,0,0,237
2021,Gujarat,West Coast,Arvalli,59,201,0,260,0,59,0,201,0,0,0,260
2022,Gujarat,West Coast,Arvalli,127,158,0,285,14,113,14,144,0,0,28,257
2018,Gujarat,West Coast,Banaskantha,97,97,0,194,1,96,1,96,0,0,2,192
2019,Gujarat,West Coast,Banaskantha,103,214,0,317,1,102,2,212,0,0,3,314
2020,Gujarat,West Coast,Banaskantha,52,179,0,231,0,52,0,179,0,0,0,231
2021,Gujarat,West Coast,Banaskantha,84,234,0,318,0,84,0,234,0,0,0,318
2022,Gujarat,West Coast,Banaskantha,123,402,0,525,12,111,100,302,0,0,112,413
2018,Gujarat,West Coast,Bharuch,135,224,0,359,15,120,19,205,0,0,34,325
2019,Gujarat,West Coast,Bharuch,122,230,0,352,18,104,16,214,0,0,34,318
2020,Gujarat,West Coast,Bharuch,156,231,0,387,17,139,14,217,0,0,31,356
2021,Gujarat,West Coast,Bharuch,173,257,0,430,20,153,11,246,0,0,31,399
2022,Gujarat,West Coast,Bharuch,202,220,0,422,20,182,14,206,0,0,34,388
2018,Gujarat,West Coast,Bhavnagar,69,75,0,144,0,69,0,75,0,0,0,144
2019,Gujarat,West Coast,Bhavnagar,64,187,0,251,1,63,21,166,0,0,22,229
2020,Gujarat,West Coast,Bhavnagar,53,129,0,182,6,47,7,122,0,0,13,169
2021,Gujarat,West Coast,Bhavnagar,52,173,0,225,2,50,7,166,0,0,9,216
2022,Gujarat,West Coast,Bhavnagar,62,152,0,214,7,55,16,136,0,0,23,191
2018,Gujarat,West Coast,Botad,13,65,0,78,2,11,15,50,0,0,17,61
2019,Gujarat,West Coast,Botad,15,37,0,52,5,10,15,22,0,0,20,32
2020,Gujarat,West Coast,Botad,13,81,0,94,1,12,16,65,0,0,17,77
2021,Gujarat,West Coast,Botad,18,64,0,82,3,15,32,32,0,0,35,47
2022,Gujarat,West Coast,Botad,27,118,0,145,0,27,41,77,0,0,41,104
2018,Gujarat,West Coast,Chhotaudepur,14,20,0,34,1,13,0,20,0,0,1,33
2019,Gujarat,West Coast,Chhotaudepur,15,16,0,31,2,13,1,15,0,0,3,28
2020,Gujarat,West Coast,Chhotaudepur,34,16,0,50,3,31,3,13,0,0,6,44
2021,Gujarat,West Coast,Chhotaudepur,15,41,0,56,0,15,1,40,0,0,1,55
2022,Gujarat,West Coast,Chhotaudepur,21,29,0,50,2,19,3,26,0,0,5,45
2018,Gujarat,West Coast,CID Crime,0,0,0,0,0,0,0,0,0,0,0,0
2019,Gujarat,West Coast,CID Crime,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,CID Crime,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,CID Crime,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,CID Crime,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Ahmedabad Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Ahmedabad Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Ahmedabad Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Border Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Border Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Border Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Gandhinagar Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Gandhinagar Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Gandhinagar Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Junagadh Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Junagadh Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Junagadh Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Panchmahal Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Panchmahal Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Panchmahal Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Surat Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Surat Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Surat Range,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Cyber Vadodara Range,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Cyber Vadodara Range,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Cyber Vadodara Range,0,0,0,0,0,0,0,0,0,0,0,0
2018,Gujarat,West Coast,Dahod,15,113,0,128,1,14,89,24,0,0,90,38
2019,Gujarat,West Coast,Dahod,18,146,0,164,4,14,101,45,0,0,105,59
2020,Gujarat,West Coast,Dahod,14,182,0,196,1,13,129,53,0,0,130,66
2021,Gujarat,West Coast,Dahod,41,190,0,231,3,38,129,61,0,0,132,99
2022,Gujarat,West Coast,Dahod,31,243,0,274,6,25,169,74,0,0,175,99
2018,Gujarat,West Coast,Dang,0,0,0,0,0,0,0,0,0,0,0,0
2019,Gujarat,West Coast,Dang,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gujarat,West Coast,Dang,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gujarat,West Coast,Dang,0,0,0,0,0,0,0,0,0,0,0,0
2022,Gujarat,West Coast,Dang,0,0,0,0,0,0,0,0,0,0,0,0
2018,Gujarat,West Coast,Devbhumi Dwarka,27,73,0,100,5,22,9,64,0,0,14,86
2019,Gujarat,West Coast,Devbhumi Dwarka,26,80,0,106,1,25,18,62,0,0,19,87
2020,Gujarat,West Coast,Devbhumi Dwarka,26,45,0,71,1,25,0,45,0,0,1,70
2021,Gujarat,West Coast,Devbhumi Dwarka,32,84,0,116,2,30,6,78,0,0,8,108
2022,Gujarat,West Coast,Devbhumi Dwarka,35,54,0,89,2,33,0,54,0,0,2,87
2018,Gujarat,West Coast,Gandhinagar,171,321,0,492,19,152,19,302,0,0,38,454
2019,Gujarat,West Coast,Gandhinagar,156,299,0,455,16,140,10,289,0,0,26,429
2020,Gujarat,West Coast,Gandhinagar,132,247,0,379,19,113,12,235,0,0,31,348
2021,Gujarat,West Coast,Gandhinagar,160,285,0,445,16,144,13,272,0,0,29,416
2022,Gujarat,West Coast,Gandhinagar,227,485,0,712,21,206,29,456,0,0,50,662
2018,Gujarat,West Coast,Gir Somnath,25,43,0,68,3,22,2,41,0,0,5,63
2019,Gujarat,West Coast,Gir Somnath,18,76,0,94,2,16,38,38,0,0,40,54
2020,Gujarat,West Coast,Gir Somnath,15,59,0,74,3,12,36,23,0,0,39,35
2021,Gujarat,West Coast,Gir Somnath,25,15,0,40,0,25,0,15,0,0,0,40
2022,Gujarat,West Coast,Gir Somnath,11,41,0,52,2,9,26,15,0,0,28,24
2018,Gujarat,West Coast,Jamnagar,85,155,0,240,13,72,5,150,0,0,18,222
2019,Gujarat,West Coast,Jamnagar,84,170,0,254,8,76,8,162,0,0,16,238
2020,Gujarat,West Coast,Jamnagar,59,153,0,212,6,53,6,147,0,0,12,200
2021,Gujarat,West Coast,Jamnagar,71,152,0,223,16,55,21,131,0,0,37,186
2022,Gujarat,West Coast,Jamnagar,81,113,0,194,18,63,6,107,0,0,24,170
2018,Gujarat,West Coast,Junagadh,32,41,0,73,3,29,2,39,0,0,5,68
2019,Gujarat,West Coast,Junagadh,36,93,0,129,4,32,69,24,0,0,73,56
2020,Gujarat,West Coast,Junagadh,27,36,0,63,2,25,1,35,0,0,3,60
2021,Gujarat,West Coast,Junagadh,29,28,0,57,1,28,0,28,0,0,1,56
2022,Gujarat,West Coast,Junagadh,31,35,0,66,2,29,2,33,0,0,4,62
2018,Gujarat,West Coast,Kachchh East(G),50,189,0,239,6,44,33,156,0,0,39,200
2019,Gujarat,West Coast,Kachchh East(G),166,83,0,249,0,166,1,82,0,0,1,248
2020,Gujarat,West Coast,Kachchh East(G),94,246,0,340,5,89,57,189,0,0,62,278
2021,Gujarat,West Coast,Kachchh East(G),145,341,0,486,11,134,61,280,0,0,72,414
2022,Gujarat,West Coast,Kachchh East(G),135,347,0,482,5,130,75,272,0,0,80,402
2018,Gujarat,West Coast,Kachchh West(B),77,190,0,267,6,71,40,150,0,0,46,221
2019,Gujarat,West Coast,Kachchh West(B),72,177,0,249,6,66,20,157,0,0,26,223
2020,Gujarat,West Coast,Kachchh West(B),73,212,0,285,1,72,37,175,0,0,38,247
2021,Gujarat,West Coast,Kachchh West(B),108,288,0,396,6,102,45,243,0,0,51,345
2022,Gujarat,West Coast,Kachchh West(B),144,306,0,450,12,132,54,252,0,0,66,384
2018,Gujarat,West Coast,Kheda,68,102,0,170,3,65,2,100,0,0,5,165
2019,Gujarat,West Coast,Kheda,63,125,0,188,5,58,5,120,0,0,10,178
2020,Gujarat,West Coast,Kheda,31,91,0,122,0,31,0,91,0,0,0,122
2021,Gujarat,West Coast,Kheda,114,209,0,323,18,96,10,199,0,0,28,295
2022,Gujarat,West Coast,Kheda,100,227,0,327,12,88,20,207,0,0,32,295
2018,Gujarat,West Coast,Mahisagar,24,54,0,78,3,21,9,45,0,0,12,66
2019,Gujarat,West Coast,Mahisagar,20,36,0,56,2,18,3,33,0,0,5,51
2020,Gujarat,West Coast,Mahisagar,17,36,0,53,3,14,3,33,0,0,6,47
2021,Gujarat,West Coast,Mahisagar,15,112,0,127,2,13,40,72,0,0,42,85
2022,Gujarat,West Coast,Mahisagar,27,62,0,89,7,20,62,0,0,0,69,20
2018,Gujarat,West Coast,Mehsana,148,523,1,672,7,141,6,517,0,1,13,659
2019,Gujarat,West Coast,Mehsana,147,453,0,600,0,147,6,447,0,0,6,594
2020,Gujarat,West Coast,Mehsana,87,296,0,383,1,86,1,295,0,0,2,381
2021,Gujarat,West Coast,Mehsana,93,350,2,445,2,91,0,350,2,0,4,441
2022,Gujarat,West Coast,Mehsana,140,411,0,551,2,138,1,410,0,0,3,548
2018,Gujarat,West Coast,Morbi,23,85,0,108,0,23,1,84,0,0,1,107
2019,Gujarat,West Coast,Morbi,22,90,0,112,0,22,0,90,0,0,0,112
2020,Gujarat,West Coast,Morbi,21,43,0,64,0,21,0,43,0,0,0,64
2021,Gujarat,West Coast,Morbi,25,30,0,55,0,25,0,30,0,0,0,55
2022,Gujarat,West Coast,Morbi,16,23,0,39,0,16,0,23,0,0,0,39
2018,Gujarat,West Coast,Narmada,8,18,0,26,0,8,1,17,0,0,1,25
2019,Gujarat,West Coast,Narmada,11,11,0,22,0,11,0,11,0,0,0,22
2020,Gujarat,West Coast,Narmada,11,15,0,26,2,9,1,14,0,0,3,23
2021,Gujarat,West Coast,Narmada,8,35,0,43,1,7,1,34,0,0,2,41
2022,Gujarat,West Coast,Narmada,15,31,0,46,1,14,1,30,0,0,2,44
2018,Gujarat,West Coast,Navsari,84,110,0,194,7,77,4,106,0,0,11,183
2019,Gujarat,West Coast,Navsari,82,128,0,210,3,79,4,124,0,0,7,203
2020,Gujarat,West Coast,Navsari,65,94,0,159,3,62,7,87,0,0,10,149
2021,Gujarat,West Coast,Navsari,60,82,0,142,3,57,4,78,0,0,7,135
2022,Gujarat,West Coast,Navsari,81,78,0,159,4,77,6,72,0,0,10,149
2018,Gujarat,West Coast,Panchmahal,55,91,0,146,3,52,5,86,0,0,8,138
2019,Gujarat,West Coast,Panchmahal,69,89,0,158,4,65,5,84,0,0,9,149
2020,Gujarat,West Coast,Panchmahal,50,82,0,132,8,42,4,78,0,0,12,120
2021,Gujarat,West Coast,Panchmahal,48,56,0,104,1,47,4,52,0,0,5,99
2022,Gujarat,West Coast,Panchmahal,57,96,0,153,6,51,9,87,0,0,15,138
2018,Gujarat,West Coast,Patan,34,149,0,183,2,32,1,148,0,0,3,180
2019,Gujarat,West Coast,Patan,55,179,0,234,2,53,2,177,0,0,4,230
2020,Gujarat,West Coast,Patan,55,215,0,270,2,53,2,213,0,0,4,266
2021,Gujarat,West Coast,Patan,86,312,0,398,0,86,0,312,0,0,0,398
2022,Gujarat,West Coast,Patan,83,347,0,430,0,83,0,347,0,0,0,430
2018,Gujarat,West Coast,Porbandar,22,53,0,75,6,16,2,51,0,0,8,67
2019,Gujarat,West Coast,Porbandar,23,45,0,68,3,20,3,42,0,0,6,62
2020,Gujarat,West Coast,Porbandar,27,54,0,81,4,23,2,52,0,0,6,75
2021,Gujarat,West Coast,Porbandar,16,26,0,42,0,16,2,24,0,0,2,40
2022,Gujarat,West Coast,Porbandar,12,29,0,41,4,8,4,25,0,0,8,33
2018,Gujarat,West Coast,Rajkot City,316,599,0,915,30,286,102,497,0,0,132,783
2019,Gujarat,West Coast,Rajkot City,262,414,0,676,0,262,0,414,0,0,0,676
2020,Gujarat,West Coast,Rajkot City,204,390,0,594,0,204,0,390,0,0,0,594
2021,Gujarat,West Coast,Rajkot City,16,40,0,56,6,10,30,10,0,0,36,20
2022,Gujarat,West Coast,Rajkot City,273,438,0,711,9,264,12,426,0,0,21,690
2018,Gujarat,West Coast,Rajkot Rural,56,165,0,221,20,36,7,158,0,0,27,194
2019,Gujarat,West Coast,Rajkot Rural,91,256,0,347,22,69,8,248,0,0,30,317
2020,Gujarat,West Coast,Rajkot Rural,66,295,0,361,5,61,83,212,0,0,88,273
2021,Gujarat,West Coast,Rajkot Rural,75,365,0,440,2,73,88,277,0,0,90,350
2022,Gujarat,West Coast,Rajkot Rural,101,406,0,507,5,96,64,342,0,0,69,438
2018,Gujarat,West Coast,Sabarkantha,89,173,0,262,4,85,6,167,0,0,10,252
2019,Gujarat,West Coast,Sabarkantha,66,168,0,234,3,63,23,145,0,0,26,208
2020,Gujarat,West Coast,Sabarkantha,39,165,0,204,2,37,10,155,0,0,12,192
2021,Gujarat,West Coast,Sabarkantha,75,199,0,274,3,72,2,197,0,0,5,269
2022,Gujarat,West Coast,Sabarkantha,74,212,0,286,2,72,4,208,0,0,6,280
2018,Gujarat,West Coast,Surat City,1337,2052,0,3389,266,1071,470,1582,0,0,736,2653
